2023/09/18 14:42:13 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":4,"card":50,"bust":true,"point":26,"is21Point":false,"isFiveDragon":true,"isBlackJack":false}}
2023/09/18 14:42:15 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703660431748370432","RemainSec":20}}
2023/09/18 14:42:18 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Open","Gid":"2001-1703660431748370432","RemainSec":4}}
2023/09/18 14:42:18 [INFO] Receive Message:{"Ret":"ActBankerCard","Data":{"bust":false,"cards":[31,48,27],"point":18,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:59:20 [ERROR] read tcp [::1]:54328->[::1]:10001: wsarecv: An existing connection was forcibly closed by the remote host.
2023/09/18 14:59:50 [INFO] 連線中斷
2023/09/18 14:59:53 [INFO] Connect Success
2023/09/18 14:59:55 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"success","Data":{"Gold":999982,"IconID":0,"Name":"Test_simon","UserId":88342761,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false}}
2023/09/18 14:59:58 [INFO] Receive Message:{"Ret":"DebugMatchType","Data":{"matchtype":0}}
2023/09/18 14:59:58 [INFO] Receive Message:{"Code":0,"Ret":"JoinGame","Message":"success","Data":{"Gid":"","BankerCards":[],"BankerCardPoint":0,"BetLimit":[[3,300]],"Chips":[3,15,30,75,150,300],"RemainSec":1,"BetInfo":{},"TableCards":{},"PlayerInfo":[{"seatId":3,"iconId":0,"name":"Test_simon","gold":999982,"IsBetFinish":false,"IsDouble":[false,false],"isSitDown":true,"point":[0,0],"is21Point":[false,false],"isFiveDragon":[false,false],"isBlackJack":[false,false],"bust":[false,false],"isSetInsurance":false,"isInsurance":false,"insuranceGold":0,"parentSeat":3}],"Fsm":"Init","TokenPlayerSeatInfo":{"seatId":-1,"splittime":0},"result":[]}}
2023/09/18 14:59:59 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Match","Gid":"2001-1703665151229562880","RemainSec":3}}
2023/09/18 15:00:02 [INFO] Receive Message:{"Ret":"ActTableStatus","Data":{"tablePlayerInfo":[{"seatId":1,"iconId":102,"name":"****hne","gold":114164,"isSitDown":true},{"seatId":3,"iconId":0,"name":"****mon","gold":999982,"isSitDown":true},{"seatId":4,"iconId":0,"name":"****ian","gold":138721,"isSitDown":true}]}}
2023/09/18 15:00:02 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Bet","Gid":"2001-1703665151229562880","RemainSec":20}}
